,id,tid_not_to_be_used,airline,tag,tweet
17,691,5.06819E+17,United,rO(x6c15'Can,@united we are on standby if the 2 flights don't have room then we stay in Seattle an extra day and I miss my first day of school!
18,748,5.0684E+17,United,rO(x6c15'Can,"Ugh, another plane with Dish TV instead of Internet. Why not both? WHY DO YOU HAVE TO SUCK, @UNITED?!?"
19,790,5.06863E+17,JetBlue,rO(x6c15'Can,"I had a flight yesterday from Long beach to Boston and sadly my TV was broken, having a TV in a long haul flight is essential 2 me @JetBlue"
20,818,5.06882E+17,SouthWest,rO(x6c15'Can,@nemanjastuff @SouthwestAir i hope you fond your bag. It sucks when something like this happens to you.
21,902,5.0692E+17,SouthWest,rO(x6c15'Can,We've been sitting on the runway for 2.5 hours &amp; haven't moved. They should have deplaned everyone. Ridiculous @southwestair #notok #itshot
22,996,5.06964E+17,JetBlue,rO(x6c15'Can,It's profit over comfort - stingy legroom = disrespect 2 customers @JetBlue is the rare bird w/room 2 stretch!
23,1047,5.06984E+17,United,rO(x6c15'Can,Stuck at O'Hare waiting for @united flight 738 to take off. First a late aircraft; now a maintenance issue? Going on a 3hr delay! Ugh!
24,1087,5.07021E+17,American,rO(x6c15'Can,@AmericanAir 6 hour flight delay? What's up with that? I didn't pay to wait past customs for 6 hours
25,1104,5.07043E+17,United,rO(x6c15'Can,"@rifu_ Yeah, I'd broken the 1000 puzzle piece mark at PAX this weekend... Let's see if @united lost and found can bring her home."
26,1125,5.07097E+17,American,rO(x6c15'Can,"No airline, none, is the constant disappointment that @AmericanAir is. Cancelled flight. No remedy."
27,1127,5.07105E+17,United,rO(x6c15'Can,@united I will be contacting corporate in writing explaining my disappointment
28,1153,5.07154E+17,American,rO(x6c15'Can,"@AmericanAir Really?!?! After last AA 3-hr flight delay on the tarmac in OKC 3 mths ago, I have another one in Tulsa? C'mon man!"
29,1195,5.07183E+17,AlaskaAir,rO(x6c15'Can,Have decided @United is the worst airline and will try to only fly @Virgin &amp; @AlaskaAir from now on. #late #Flight268
30,1203,5.07186E+17,VirginAmerica,rO(x6c15'Can,"Not only guilted into giving up aisle for a middle seat, my @VirginAmerica flt. spnsrd by screaming babies. So much for main cabin select."
31,1209,5.07188E+17,JetBlue,rO(x6c15'Can,incredibly disappointed @JetBlue for causing me major issues and NOT making things right!  #badcustomerservice #travel #airline #annoyed
32,1252,5.07226E+17,Delta,rO(x6c15'Can,"@Delta @DeltaAssist did I mention your CSR ""Zach"" was rude and condescending?"
33,1274,5.07236E+17,Delta,rO(x6c15'Can,Apparently #thestruggleisreal for @Delta @DeltaAssist both of my flights having issues today.
34,1284,5.07246E+17,United,rO(x6c15'Can,Mom fought with @united to switch the ticket so I can go to #NOLA w/ her to see my sister. But no go... #notcool #nonamechange #boo
35,1288,5.07253E+17,VirginAmerica,rO(x6c15'Can,@Clutch08 you're going to wish that flight was longer! @VirginAmerica rocks -- I must have been on the flight right before yours!
36,1330,5.07287E+17,American,rO(x6c15'Can,I could take an Uber halfway across the country for what @AmericanAir charges in change fees! Ridiculous! And processing fees on top of that
37,1394,5.07335E+17,American,rO(x6c15'Can,First flight today got delayed&amp;rebooked And now here we are in Chicago on a plane at the gate for an hour delayed. @AmericanAir #craziness
38,1399,5.07339E+17,JetBlue,rO(x6c15'Can,Photo: everyone hates me. two more hours #sick #diaster #california @jetblue http://t.co/G5qdzVaVQ6
39,1449,5.07378E+17,SouthWest,rO(x6c15'Can,@nickyromero @SouthwestAir ouch! How many new tracks that are finished were on that bad boy?
40,1454,5.07381E+17,VirginAmerica,rO(x6c15'Can,@VirginAmerica  I suggest you have a monthly calendar up on your site so the consumers can see which dates they can fly out. #Annoyed
41,1465,5.07395E+17,American,rO(x6c15'Can,@AmericanAir I want to know the possibility of flight cancelled/delayed due to bad weather in. Buffalo at the beginning of December.
42,1547,5.07556E+17,United,rO(x6c15'Can,Day 6 of my luggage missing and got everything crossed @united can actually work out where it is today!!!!
43,1563,5.07568E+17,United,rO(x6c15'Can,"Just finished boarding a flight on @united airlines at LAX....and it was PROBABLY the worst experience I've had yet. Miserable, rude staff."
44,1625,5.07616E+17,American,rO(x6c15'Can,"If you're a parent traveling with 5 kids under age 8, it sucks to be on @AmericanAir / @USAirways. No early boarding on US 2120. #turnedaway"
45,1682,5.07646E+17,SouthWest,rO(x6c15'Can,@pulpit @SouthwestAir ugh sorry
46,1700,5.07658E+17,American,rO(x6c15'Can,"@ChuckCJohnson @rageahol @AmericanAir no, you fucking idiot"
47,1736,5.07676E+17,American,rO(x6c15'Can,2/2 @AmericanAir Told me #AA said ontime departure more important than customers. AA customer 4 10+ yrs. means nada. #customerservicefail
48,1786,5.07714E+17,VirginAmerica,rO(x6c15'Can,Really wish @VirginAmerica flew into Burbank. Then I would never ever need to fly @SouthwestAir
49,1815,5.07749E+17,United,rO(x6c15'Can,"@united You lost my bag, and delivered it to the wrong city in Montana. Yoyce from premier baggage offered no help, told me she know nothing"
50,1816,5.07749E+17,VirginAmerica,rO(x6c15'Can,"@FlyFrontier the Denver supervisor is the worst, she was mad at me that my flight was delayed 4 hours #smh gotta stay with @VirginAmerica"
51,1883,5.07891E+17,American,rO(x6c15'Can,@AmericanAir  Any chance of getting an iPhone app that actually does something useful out if this merger?  Yours is killing me.
52,1950,5.07935E+17,United,rO(x6c15'Can,"Another day, another delay on @united"
53,2023,5.07982E+17,American,rO(x6c15'Can,@AmericanAir I have several times and no response on how you are going to fix it.
54,2093,5.08014E+17,United,rO(x6c15'Can,"Oh @united, making us get on late flight bc orig canceled, then ""uncanceling"" the orig flight but refusing to move our bags back. Klassy."
55,2096,5.08015E+17,American,rO(x6c15'Can,@JamesAAuthors @DaveAAuthors @MattAAuthors @ZacAAuthors @AmericanAir can't wait to meet u guys in October(:
56,2111,5.08021E+17,American,rO(x6c15'Can,@AmericanAir My mom (&amp; other pax's) are currently stuck on a plane in MKE. Waiting for gas to go to ORD. Why not let them off in MKE??
57,2114,5.08022E+17,United,rO(x6c15'Can,@united Worst Airline. Worst Customer Service. Will NEVER EVER EVER fly with you again.
58,2125,5.08025E+17,American,rO(x6c15'Can,"Blah. One flight delayed, one canceled, two destination hotel reservations lost due to rebooking. @AmericanAir"
59,2139,5.08031E+17,SouthWest,rO(x6c15'Can,@SouthwestAir. Your plan to use similar airframes to mitigate maintenance issues is epic fail. #648 Den-&gt;PHL 3 hours late is proof.
60,2184,5.08047E+17,American,rO(x6c15'Can,Shout out to the crew of @AmericanAir Eagle flight 2848. Terrible weather in the upper Midwest and barely a bump! 
61,2215,5.08057E+17,United,rO(x6c15'Can,"Was supposed to leave at 4:40, just know taxiing out-- 4 HOURS later and they can't even comp a drink!!?? Bad form @united"
62,2216,5.08057E+17,American,rO(x6c15'Can,"Day keeps getting better. After over four hour delay, four drunks were just taken off LAS-bound @AmericanAir flight by police."
63,2223,5.0806E+17,SouthWest,rO(x6c15'Can,.@SouthwestAir ugh stop hitting on me you sex perverts http://t.co/0otkUKoDD0
64,2232,5.08062E+17,SouthWest,rO(x6c15'Can,How is it an airline can't figure out how to get its people to their planes on time? Come on @SouthwestAir 30 min delay from bad management.
65,2241,5.08066E+17,JetBlue,rO(x6c15'Can,"3 weekends, 3 cities, 3 airlines, 3 delayed flights @Delta @united @JetBlue #airlineindustry"
66,2275,5.0809E+17,United,rO(x6c15'Can,@united: What was the flight number? Sitting on the tarmac usually is due to caption waiting for ATC clearance for take-off. JP FLIGHT 1064
67,2306,5.08115E+17,United,rO(x6c15'Can,@united no longer gives peanuts or any other snacks on 4 hour domestic flights #wtf
68,2417,5.08291E+17,United,rO(x6c15'Can,"@united excuse me, I'm platinum and upgraded to deal with a sore back, and got stuck with a seat that doesn't recline. This sucks"
69,2431,5.0831E+17,United,rO(x6c15'Can,@united I have united club membership (and mileage plus status) so that's not the problem. This trip it was  @TK_US .
70,2449,5.08318E+17,United,rO(x6c15'Can,I took 6 flights with @Delta this week with exceptional results. Two flights on @united and I've got a delay overnight and a late final leg.
71,2512,5.08369E+17,American,rO(x6c15'Can,A rude personnel and 2 delayed flights later.. Never flying @AmericanAir ! #ijustwannagohome #isthatwhyyouremerging
72,2624,5.08459E+17,SouthWest,rO(x6c15'Can,@SouthwestAir you guys are way to overpriced now! It's shameful...
73,2728,5.08642E+17,American,rO(x6c15'Can,"@JaySlivs @AmericanAir lmao typical, ive flown out of SA 3 times and i was delayed every single time on the clearest days"
74,2739,5.08649E+17,VirginAmerica,rO(x6c15'Can,So instead @VirginAmerica has booked me on the 11pm red eye for tonight instead. I'm so tall I can't sleep on planes. This is miserable. :'(
75,2751,5.0866E+17,SouthWest,rO(x6c15'Can,Fuck @SouthwestAir. Fucking bullshit. Guess I go back to never using them.
76,2767,5.08669E+17,JetBlue,rO(x6c15'Can,whomp. my favorite movie #13GoingOn30 is playing on @MTV but my seat on my @JetBlue flight has a broken headset jack. #fail
77,2787,5.08681E+17,AlaskaAir,rO(x6c15'Can,@DeltaAssist Your ground ops on the new PDX-SEA route are very poor.  Took forever to get our bags at the gate. @AlaskaAir is much better!
78,2789,5.08684E+17,American,rO(x6c15'Can,"@AmericanAir when will Exec Plat same treatment on USAir? Had to pay for ""choice"" seats and they are horrible... This is why I chose AA"
79,2800,5.08692E+17,SouthWest,rO(x6c15'Can,@SouthwestAir I just saw a commercial for flights for $69! :) I'm just curious why I can never find them when I'm booking a ticket!?_
80,2961,5.08756E+17,Delta,rO(x6c15'Can,@PoorLilItGirl @Delta @DeltaAssist that's so annoying.
81,2985,5.08763E+17,JetBlue,rO(x6c15'Can,@isaidthatshit @jetblue same shit I said I pay too much for a ticket and the flight attendant aint gonna do something extra
82,3108,5.088E+17,SouthWest,rO(x6c15'Can,Catch an earlier flight out of Phoenix... Only to have it delayed to the original flight time. Boo on you @SouthwestAir. Boo on You!
83,3153,5.08808E+17,United,rO(x6c15'Can,@united our credit card company is denying the charges so we get our refund either way.  I'm never booking United again!
84,3161,5.08811E+17,SouthWest,rO(x6c15'Can,"One day, just one day, I'd like to fly @SouthwestAir and not be delayed. Is that too much to ask? #NeverLeavingSFO"
85,3209,5.08827E+17,American,rO(x6c15'Can,@AmericanAir FlightAA37 delayed 2 1/2 hours with little to no communication.
86,3298,5.08932E+17,United,rO(x6c15'Can,@united @susanwoessner glad to hear it.  Nothing worse than sitting on the tarmac for 30 minutes watching your flight leave without you.
87,3306,5.08941E+17,United,rO(x6c15'Can,"Not wasting my $ on @united ""First"" Class again. Barely-reclining seats, no footrests OR pillows, disappearing flight attendants. #pointless"
88,3324,5.08954E+17,United,rO(x6c15'Can,@united we both had a bad day!
89,3331,5.0896E+17,Delta,rO(x6c15'Can,@DeltaAssist stop letting rude gate agents snatch carry-ons away from passengers as they board and then threaten the customer #dtw #a23
90,3496,5.09027E+17,American,rO(x6c15'Can,"I wish @AmericanAir service didn't suck, their planes are some of best looking!"
91,3526,5.0904E+17,United,rO(x6c15'Can,This is the worst @united flight i've flown all year... it's also the longest one... figures.
92,3606,5.0908E+17,American,rO(x6c15'Can,"@AmericanAir hi guys, wrote to customer service regarding ticketing issue and still waitin to hear from Sean. ... http://t.co/773XZDi29C"
93,3632,5.09096E+17,United,rO(x6c15'Can,Reminder why I fly @United. Talk about rude.  @delta gate agent for flight1717 could not have been worse. #badatyourjob
94,3823,5.09201E+17,SouthWest,rO(x6c15'Can,Flew @SouthwestAir for the first time today. 4 flights and 3 different planes. Never has a flight (cont) http://t.co/IH7nntvdlO
95,3847,5.09262E+17,American,rO(x6c15'Can,@AmericanAir what the hell? No tvs on your 767's? This is going to be torture.Its 14 and you still don't have tv's. This is going to be hell
96,3905,5.09352E+17,United,rO(x6c15'Can,#UCCan benefit plans members: give us your email &amp; never miss updates on pay/pension/benefits! MinistryandEmployment@united-church.ca
97,3939,5.0937E+17,American,rO(x6c15'Can,@AmericanAir My honeymoon flights changed and now we have to overnight in Miami. Been booked for 7 months. Your rep offered to cancel. #Booo
98,3943,5.0937E+17,United,rO(x6c15'Can,"Not to mention I'll probably miss my connection. Tisk tisk, @united I don't seem to have much luck flying with you guys!"
99,3953,5.09373E+17,SouthWest,rO(x6c15'Can,"Further correction, never flying @SouthwestAir (not @southwest) from SFO to Orange County ever again."
100,3961,5.09377E+17,VirginAmerica,rO(x6c15'Can,Anybody surprised? @United #sucks the most according to Twitter users (while @VirginAmerica is the most #awesome)  http://t.co/AIzNd9TSUH
101,3994,5.09408E+17,United,rO(x6c15'Can,Unfortunately it seems like DRM has screwed inflight entertainment on this @united flight w/ their beta offering. Movie previews work tho.
102,4005,5.09413E+17,American,rO(x6c15'Can,@AirlineFlyer makes you wonder what @British_Airways did to upset them. #Delayed  #AppleLive @AmericanAir http://t.co/bV2AH7y57W
103,4020,5.09419E+17,American,rO(x6c15'Can,@AmericanAir put on your tickets that you have to be in your seat 15 minutes prior to boarding your plane. Celica at JAX is a horrible.
104,4031,5.09426E+17,JetBlue,rO(x6c15'Can,The Best and #Worst #Airlines -- According to #Twitter http://t.co/VAUg2eJeyA @VirginAmerica @JetBlue @AmericanAir http://t.co/MfqJG7nBG4
105,4042,5.09433E+17,American,rO(x6c15'Can,@AmericanAir  never will I travel through Them again. I have emailed and called them and no response for over 2 weeks.
106,4120,5.09477E+17,VirginAmerica,rO(x6c15'Can,Dear Sweet Sexy @VirginAmerica  Plz get me home safely!!! And let me see the big full moon! I miss my #Florida family already! #LaLaLand
107,4138,5.09489E+17,United,rO(x6c15'Can,@united how long does it take? Been almost a month and no response!
108,4172,5.09512E+17,AlaskaAir,rO(x6c15'Can,Nearly an hour after my parents' @united flight landed they are still waiting on bags. Should have flown @AlaskaAir ...20 min bag guarantee!
109,4181,5.09517E+17,VirginAmerica,rO(x6c15'Can,@imShawnn @TerrellePryor @VirginAmerica  passengers should never experience a terrible flight especially first class
110,4184,5.0952E+17,American,rO(x6c15'Can,"@AmericanAir why evrything is difficult w/you? Trying 2 book flight 2 LAX in dec but get ""fare selected is no longer avail"" on all fares"
111,4197,5.09526E+17,SouthWest,rO(x6c15'Can,Frustrating...Trying to change a flight on @SouthwestAir and it's not working on mobile app and no luck on browser via phone. Website issue?
112,4201,5.0953E+17,United,rO(x6c15'Can,"@SportsMT @united except you'll arrive 2 hours late, luggage lost, and a dumbass look on your face due to uncaring employees. WOOT!"
113,4239,5.09568E+17,American,rO(x6c15'Can,"@AmericanAir worst airline ever!! Won't allow change to earlier flight Bc bags were checked, yet they came earlier and now we can't get"
114,4278,5.09661E+17,SouthWest,rO(x6c15'Can,@SouthwestAir seriously? You take my plane to give to another flight &amp; make me wait 6+ hours with a toddler. This will be my last time w/ U!
115,4378,5.09751E+17,SouthWest,rO(x6c15'Can,@SouthwestAir Your flight from Portland to Oakland in the evening time has been delayed every week for the past few months.  Fix it plz.
116,4406,5.09774E+17,VirginAmerica,rO(x6c15'Can,@johntdrake @VirginAmerica I noticed this at some point during my first 40 viewings but I think it's intentional and just bad.
117,4441,5.09794E+17,American,rO(x6c15'Can,@AmericanAir I booked a flight through ba on American flight. I add BA ff instead of AA. can help me switch it to my American ff#?
118,4461,5.0981E+17,American,rO(x6c15'Can,I have never been on an @AmericanAir flight that has actually left @dfwairport on time. I know it happens. I must just have bad luck.
119,4469,5.09816E+17,United,rO(x6c15'Can,@united your customer service continues is a major disappointment. That flight from DFW to MAN was awful. You don't value your customers.
120,4472,5.09818E+17,JetBlue,rO(x6c15'Can,I'm so sorry I didn't fly @JetBlue on my trip to Seattle. United was a miserable experience. #imcheap
121,4526,5.0985E+17,JetBlue,rO(x6c15'Can,@JetBlue I always fall asleep on the plane and miss the Terra Blue Chips! Are they a #JetBlue exclusive or can I buy them in a store? #chips
122,4621,5.09919E+17,VirginAmerica,rO(x6c15'Can,@VirginAmerica your website seriously never works! Can you please fix it already?
123,4696,5.10039E+17,United,rO(x6c15'Can,@united  I have never been more disappointed in an airport check in crew. #rude #neverflyunitedagain
124,4843,5.10136E+17,SouthWest,rO(x6c15'Can,@SouthwestAir per the request on my issue with the flight delay I have sent a DM. Let's see if customer support exists
125,4866,5.10152E+17,SouthWest,rO(x6c15'Can,@SouthwestAir C'mon. Horrible delay Sun forced me to miss connection &amp; stay night in Vegas. Today 6 hr delay &amp; engine trouble CLE. #upset
126,4934,5.10185E+17,SouthWest,rO(x6c15'Can,I just switched my flight for #NSC2014 on @SouthwestAir &amp; it didn't cost me any extra money. Is that supposed to happen? #pleasantsurprise
127,4977,5.10209E+17,VirginAmerica,rO(x6c15'Can,@VirginAmerica @NationalRentSP Normally you guys have my back but not today - worst travel experience I've had in quite sometime...
128,5004,5.10221E+17,Delta,rO(x6c15'Can,"@DeltaAssist Just flew 5168 from YUL in seat 12D. High pitched squeal from exit door is annoying, start/stop at 12k, sounds like a leak."
129,5017,5.10232E+17,United,rO(x6c15'Can,@united yes but to stand there with no one to offer an explanation was extremely frustrating.
130,5051,5.10248E+17,American,rO(x6c15'Can,"@AmericanAir I will never, ever, ever use AA again - $200 for change from hi cost Sunday nite to lo cost Monday?Really? Never again. Bye AA!"
131,5109,5.10333E+17,United,rO(x6c15'Can,"And today's leader in abject uselessness and contempt for its customers: @united. Sucking hard today, clowns."
132,5160,5.10414E+17,VirginAmerica,rO(x6c15'Can,@VirginAmerica @Virgin @VirginTrains Does that mean your site OK Firefox now? How are you doing with my air miles not given cos site faulty?
133,5161,5.10414E+17,United,rO(x6c15'Can,No wifi on a San Diego to Newark flight in the year 2014!? Beyond archaic and frustrating. .@united is a joke.
134,5210,5.10438E+17,JetBlue,rO(x6c15'Can,@JetBlue is so small at ORD.  In @BostonLogan it's a full terminal.  #Chicago is missing out on a great airline. http://t.co/tFVJIpA5i1
135,5267,5.10469E+17,United,rO(x6c15'Can,@united Broken bag+2 dlays+missin major event=175 cert.Silence from 1KVoice since askin to reconsider.Any1 intersted? http://t.co/OS4CUtFmNr
136,5318,5.10497E+17,United,rO(x6c15'Can,"@united Not delayed, u threw me on another flight 4 hrs later after Ive been checked in all morning? Fuck United, always BS flying with u!"
137,5350,5.10512E+17,American,rO(x6c15'Can,@AmericanAir sadly customer service at USAIR terrible sorry about merger
138,5355,5.10514E+17,American,rO(x6c15'Can,Been waiting 20 minutes for an @americanair gate agent to show up at MSP. Bah...
139,5389,5.10527E+17,VirginAmerica,rO(x6c15'Can,@justex07 @cybycmu I've never flown @VirginAmerica they are 2 expensive _
140,5544,5.10596E+17,AlaskaAir,rO(x6c15'Can,@AlaskaAir Still waiting on whether or not Continuum will be renewed up north. Me and 4 others were promised a visit on the Vancouver set.
141,5576,5.1061E+17,SouthWest,rO(x6c15'Can,"@SouthwestAir another flight to/from #OklahomaCity, another 737-300 with no WiFi. Where's the Luv?"
142,5617,5.1066E+17,American,rO(x6c15'Can,@AmericanAir in non-moving line for cust services for cancelled 136 to LHR. In absence of anyone telling us what's going on - can u help?
143,5667,5.10756E+17,AlaskaAir,rO(x6c15'Can,".@AlaskaAir Eek!! Love this recipe. Only thing missing is the copper cup. It's what makes drinking it, priceless!Right @SunLiquor?#FlyAlaska"
144,5695,5.10779E+17,American,rO(x6c15'Can,@AmericanAir At the airport. Really disappointed to find out you charge $75 a person to get on an earlier flight with available seats. Lame!
145,5729,5.10798E+17,SouthWest,rO(x6c15'Can,"Just found my voucher from @SouthwestAir for the 4.5 delay in Nash on Monday. Didn't even expect it, talk about customer service!"
146,5791,5.10839E+17,Delta,rO(x6c15'Can,"@DeltaAssist Waiting, waiting, waiting at RDU to fly to JFK for Intl flight at 4:30 et. Pls work w JFK so we can take off from RDU."
147,5838,5.10871E+17,United,rO(x6c15'Can,The sad point when the @united club lounge lady tells you this is your 57th visit to this club. This year. #toomuchtimeinariports
148,5876,5.10903E+17,Delta,rO(x6c15'Can,@DeltaAssist Come on we're waiting 45 minute for luggage in mke on flight Dl1224
149,5936,5.10971E+17,American,rO(x6c15'Can,@AmericanAir is the worst.Plane delayed from JFK.Missed my connection in Miami.Not even a sorry. #HorribleCustomerService
150,5973,5.11112E+17,Delta,rO(x6c15'Can,No delta maintenance crew on staff in Indy? @DeltaAssist how can that be? Waiting for sub contractors to help fix plane! 1.5 hours for help!
151,6009,5.11151E+17,American,rO(x6c15'Can,@AmericanAir the service terrible &amp; no one seemed to help The plane arrived late causing me to miss my connection &amp; now I have a 6.5 layover
152,6041,5.11175E+17,AlaskaAir,rO(x6c15'Can,@AlaskaAir what kind of reimbursement do you have for cancelled flights + baggage past 20min? Not happy right meow.
153,6047,5.11178E+17,Delta,rO(x6c15'Can,@DeltaAssist too late.  Customer service representatives should really be able to change flights instead of sending people to a kiosk.
154,6085,5.11205E+17,Delta,rO(x6c15'Can,No @sweetwaterbrew on an @Delta flight from Denver to ATLANTA? For shame.... @DeltaAssist
155,6125,5.11235E+17,United,rO(x6c15'Can,"@united oh and also. Employ flight attendants that aren't totally rude, unhelpful and inconsiderate. #doineedtotipthemtogetthemtobenice"
156,6243,5.11298E+17,Delta,rO(x6c15'Can,@DeltaAssist I got separated from my husband at LAX and he missed our flight. I land in 2 hrs. Any way to check if he's on next flight?
157,6312,5.11333E+17,United,rO(x6c15'Can,"@united How hard is it, if you give someone a hotel voucher for a missed connection, to make sure their bags don't complete the trip??"
158,6336,5.11349E+17,American,rO(x6c15'Can,Grrrr @AmericanAir I'm trying to get my flight switched for tomorrow so I can make to dallas on time for a humanities exam but it's costing
159,6443,5.1152E+17,JetBlue,rO(x6c15'Can,My complaints won't stop until you fix my problem.  @AmericanAir  you suck.  @JetBlue  you need a terminal in Miami
160,6489,5.11543E+17,Delta,rO(x6c15'Can,@DeltaAssist still haven't received the voucher coupon the airline promised a month ago when the plane got cancelled...
161,6502,5.11548E+17,SouthWest,rO(x6c15'Can,@SouthwestAir just made me check my acoustic guitar in a soft case. I'm gonna miss that guitar. Unbelievable.
162,6532,5.11569E+17,VirginAmerica,rO(x6c15'Can,"Twitter Analysis Suggests Best and Worst Airlines, @VirginAmerica Wins http://t.co/PmQB4mAlUU"
163,6539,5.11572E+17,SouthWest,rO(x6c15'Can,Very limited functionality w @southwestair #swa wifi. Fail after #fail http://t.co/bCZskrMFqM
164,6606,5.1161E+17,AlaskaAir,rO(x6c15'Can,"First vacation in two years, and we're headed to Maui on @AlaskaAir - just 36 more hours 'til we leave!!!"
165,6614,5.11616E+17,Delta,rO(x6c15'Can,@DeltaAssist it's been announced. I only bought this ticket to go to a dinner I am now going to miss. Get me out of Detroit anyway possible
166,6734,5.11699E+17,JetBlue,rO(x6c15'Can,"Love @JetBlue  I had a problem and it was solved to my satisfaction in 1 day. Luv the Blue  the snacks, flight attendants and leg room"
167,6791,5.11762E+17,SouthWest,rO(x6c15'Can,"So let me get this straight @SouthwestAir, I pay $234 for a round trip to MCO. You delay my flight, then put me on a plane with little AC."
168,6830,5.11843E+17,VirginAmerica,rO(x6c15'Can,@VirginAmerica Missed my LA flight yesterday due to mishap (with literal bruises to prove it) but your EWR team has been so helpful with it!
169,6852,5.11875E+17,JetBlue,rO(x6c15'Can,Listen @jetblue ill fly w u bc the @Fridaynightlights reference. Toss in #TimRiggins as a stewardess &amp; Id never stray http://t.co/d0J4kktDV3
170,6863,5.11885E+17,United,rO(x6c15'Can,Airlines charging over $200 to change a flight more than a month out should be illegal. @united what is the point of loyalty?
171,6944,5.11944E+17,United,rO(x6c15'Can,@united - surprised and disappointed SFO gate staff for flight 1152 arrival could not assist with connecting info. Suggest you should.
172,7037,5.12006E+17,JetBlue,rO(x6c15'Can,@JetBlue Having issues utilizing the $15 credit you provided me 8279001174516104 for a new ticket purchase. It is saying does not see credit
173,7053,5.12017E+17,American,rO(x6c15'Can,@AmericanAir why does my cabin smell like there's a direct hose from the exhaust into the air vents?  Can't breathe.
174,7120,5.12085E+17,AlaskaAir,rO(x6c15'Can,@AlaskaAir Have flight to Los Cabos in October and hotel has been badly damaged so want to rebook to Puerto Vallarta. How do I do this?
175,7126,5.12093E+17,JetBlue,rO(x6c15'Can,@JetBlue who can we email or call? This has never happened before and just want to understand why. Thanks!
176,7203,5.12264E+17,American,rO(x6c15'Can,No more flying on @AmericanAir - flight delayed twice. Joke.
177,7306,5.12344E+17,JetBlue,rO(x6c15'Can,@JetBlue heard  you guys Don't respect sect 403 Of of FAA regulations. This is a serious problem for all working musicians and it's a law
178,7313,5.1235E+17,SouthWest,rO(x6c15'Can,@USAirways thought u guys were a major airline shit even @SouthwestAir gets that Cabo is shut down. Never again @USAirways @NBCNews
179,7361,5.12396E+17,United,rO(x6c15'Can,"Seriously? RT ""@united: Catch your connecting flight in style with the @MercedesBenz tarmac transfer service, now available at all US hubs"""
180,7384,5.12422E+17,JetBlue,rO(x6c15'Can,@JetBlue I'm sorry but ur mobile check in sucks. I can never get on it.
181,7390,5.12427E+17,American,rO(x6c15'Can,@AmericanAir why is your change fee so ridiculous?! Mtgs ending early but  stuck due to your astronomical change and fare change fee. Why?
182,7414,5.12467E+17,SouthWest,rO(x6c15'Can,"@united sucks They chrg 4 bags + can't guarantee my seat on a connection WTF, I paid 4 the ticket How does this happen? @SouthwestAir ALWAYS"
183,7449,5.1256E+17,SouthWest,rO(x6c15'Can,Worst thing ever @SouthwestAir at LAX who only open their counter an hour and 15 minutes before flights leave
184,7458,5.12568E+17,United,rO(x6c15'Can,@united Do you normally repeat something when you had a bad first experience? #FirstImpressions
